,id,owner,description,latitude,longitude
0,29066091538,16967158@N03,{u'_content': u'Eyepiece projection.\niPhone SE with bracket\n1080p 60fps video mode; 26 sec trimmed clip used\nSVBony 10mm Asph. plastic-fantastic\nExplore Scientific First Light 127mm Maksutov\nCelestron SLT GoTo mount\nLos Angeles Fringe light dome\nPost Processing: PIPP + Autostakkert3 + CS6 + LR6\nStack of about 300 frames'},34.125785,-118.705601
1,41097400590,16967158@N03,{u'_content': u'fixture\n\nNikon D7100\nTamron 70-200mm f/2.8 LD DI SP\n1/125th sec\nf/4\n200mm\niso 5600\n'},34.125785,-118.705601
2,28992565438,13342807@N08,{u'_content': u''},34.106111,-118.915262
3,42846280201,14022891@N03,{u'_content': u'Satellite tracking station in the middle of the Malibu Hills'},34.105961,-118.895737
4,41941176625,10829717@N07,{u'_content': u''},34.117191,-118.578392
5,41941175545,10829717@N07,{u'_content': u''},34.117205,-118.578139
6,41941175065,10829717@N07,{u'_content': u''},34.117111,-118.578081
7,41941174545,10829717@N07,{u'_content': u''},34.117111,-118.578139
8,28969343548,10829717@N07,{u'_content': u''},34.117152,-118.578553
9,41941173475,10829717@N07,{u'_content': u''},34.117163,-118.578575
10,42124487044,10829717@N07,{u'_content': u''},34.117061,-118.578431
11,28969342178,10829717@N07,{u'_content': u''},34.117091,-118.578689
12,41941171985,10829717@N07,{u'_content': u''},34.117061,-118.578712
13,42124485504,10829717@N07,{u'_content': u''},34.117016,-118.578667
14,28969341288,10829717@N07,{u'_content': u''},34.117005,-118.578614
15,41941170995,10829717@N07,{u'_content': u''},34.117008,-118.578637
16,28969340518,10829717@N07,{u'_content': u''},34.117058,-118.578584
17,42124483634,10829717@N07,{u'_content': u''},34.117138,-118.578562
18,41941169905,10829717@N07,{u'_content': u''},34.117180,-118.578623
19,28969339678,10829717@N07,{u'_content': u''},34.117111,-118.578653
20,28969338688,10829717@N07,{u'_content': u''},34.117236,-118.578317
21,42124480774,10829717@N07,{u'_content': u''},34.117230,-118.578209
22,28969337058,10829717@N07,{u'_content': u''},34.117119,-118.578256
23,42124478824,10829717@N07,{u'_content': u''},34.117283,-118.578584
24,28969335528,10829717@N07,{u'_content': u''},34.117266,-118.578684
25,41940211065,61893602@N00,"{u'_content': u'Malibu, California'}",34.105163,-118.730912
26,41030394540,61893602@N00,"{u'_content': u'Malibu, California'}",34.095394,-118.710014
27,42745660731,63598321@N02,"{u'_content': u'Agoura, California\n\nOtto was a huge disappointment so WM went back to Rehrig. The EVs have been working out much better so far. We got roughly 230 carts restickered last week and called in around 40 broken ones. The Friday route is really small but we managed to get a good amount of carts done. Still got a few thousand more to resticker on another trip lol. There were so many broken UWS carts that GI ran out of WM branded carts and used a few Anderson carts as replacements!\n\n<a href=""https://www.youtube.com/watch?v=dderKou0YDA&amp;feature=youtu.be"" rel=""nofollow"">www.youtube.com/watch?v=dderKou0YDA&amp;feature=youtu.be</a>'}",34.130727,-118.725078
28,40934780780,63598321@N02,"{u'_content': u'Agoura, California\n\nOtto was a huge disappointment so WM went back to Rehrig. The EVs have been working out much better so far. We got roughly 230 carts restickered last week and called in around 40 broken ones. The Friday route is really small but we managed to get a good amount of carts done. Still got a few thousand more to resticker on another trip lol. There were so many broken UWS carts that GI ran out of WM branded carts and used a few Anderson carts as replacements!\n\n<a href=""https://www.youtube.com/watch?v=dderKou0YDA&amp;feature=youtu.be"" rel=""nofollow"">www.youtube.com/watch?v=dderKou0YDA&amp;feature=youtu.be</a>'}",34.130788,-118.717487
29,42693370062,13342807@N08,{u'_content': u'Topanga Lookout'},34.091966,-118.636081
30,27841430647,13342807@N08,{u'_content': u'Buckwheat and deer weed. Topanga State Park'},34.104183,-118.540903
31,41810609885,13342807@N08,{u'_content': u'Topanga State Park'},34.105758,-118.571578
32,41992012334,13342807@N08,{u'_content': u'Topanga State Park'},34.094847,-118.587017
33,42702973921,31177379@N02,{u'_content': u'Olympus digital camera'},34.103913,-118.931462
34,42678434731,42826208@N05,{u'_content': u''},34.097563,-118.812917
35,42630051072,42826208@N05,{u'_content': u''},34.097983,-118.811942
36,41960689874,42826208@N05,{u'_content': u''},34.097897,-118.812103
37,42630050992,42826208@N05,{u'_content': u''},34.096775,-118.812342
38,28805583348,42826208@N05,{u'_content': u''},34.096991,-118.812534
39,42678434341,42826208@N05,{u'_content': u''},34.098388,-118.814009
40,42678434471,42826208@N05,{u'_content': u''},34.098108,-118.812195
